elapsed,action,code,ip_dst_addr,bytes,method,url
237,TCP_TUNNEL,200,3.223.177.228,6639,CONNECT,fksnk.com:443
778,TCP_TUNNEL,200,199.127.193.108,5921,CONNECT,a6709203f34992a5095d2bc7ceaf2ec504f651a8.cws.conviva.com:443
823,TCP_TUNNEL,200,70.42.32.63,5589,CONNECT,b1sync.zemanta.com:443
187,TCP_TUNNEL,200,52.0.139.145,5109,CONNECT,beacon.krxd.net:443
594,TCP_TUNNEL,200,108.156.184.52,2280,CONNECT,d.agkn.com:443
459,TCP_TUNNEL,200,192.184.69.201,938,CONNECT,cms.quantserve.com:443
594,TCP_TUNNEL,200,108.156.184.82,924,CONNECT,pix.pub:443
569,TCP_TUNNEL,200,3.33.250.219,4717,CONNECT,events.brightline.tv:443
459,TCP_TUNNEL,200,3.216.1.77,6458,CONNECT,sync.srv.stackadapt.com:443
306,TCP_TUNNEL,200,142.250.191.162,1825,CONNECT,pagead2.googlesyndication.com:443
384,TCP_TUNNEL,200,50.116.194.21,4959,CONNECT,r.turn.com:443
594,TCP_TUNNEL,200,151.101.146.132,855,CONNECT,pi.ispot.tv:443
492,TCP_TUNNEL,200,108.156.184.71,7903,CONNECT,img.3lift.com:443
491,TCP_TUNNEL,200,108.156.184.119,9839,CONNECT,ib.3lift.com:443
599,TCP_TUNNEL,200,142.250.190.130,2209,CONNECT,googleads4.g.doubleclick.net:443
558,TCP_TUNNEL,200,172.217.4.34,2140,CONNECT,securepubads.g.doubleclick.net:443
815,TCP_TUNNEL,200,35.227.229.24,1272,CONNECT,licensing.bitmovin.com:443
384,TCP_TUNNEL,200,34.111.8.32,1565,CONNECT,events.bouncex.net:443
452,TCP_TUNNEL,200,35.207.24.140,1537,CONNECT,rtb.mfadsrvr.com:443
809,TCP_TUNNEL,200,34.111.8.32,6523,CONNECT,cnn.bounceexchange.com:443
562,TCP_TUNNEL,200,54.160.31.143,6257,CONNECT,partners.tremorhub.com:443
684,TCP_TUNNEL,200,184.85.237.48,7296,CONNECT,sync.teads.tv:443
163,TCP_TUNNEL,200,52.46.143.56,1100,CONNECT,s.amazon-adsystem.com:443
441,TCP_TUNNEL,200,68.67.161.182,3760,CONNECT,ib.adnxs.com:443
278,TCP_TUNNEL,200,8.251.185.252,618,CONNECT,clips-media-ctl.warnermediacdn.com:443
534,TCP_TUNNEL,200,8.251.185.252,8082,CONNECT,clips-media-ctl.warnermediacdn.com:443
545,TCP_TUNNEL,200,54.83.89.193,569,CONNECT,logx.optimizely.com:443
1098,TCP_TUNNEL,200,51.222.39.186,1181,CONNECT,onetag-sys.com:443
1162,TCP_TUNNEL,200,52.223.22.214,11815,CONNECT,eb2.3lift.com:443
244,TCP_TUNNEL,200,74.119.119.139,4309,CONNECT,gum.criteo.com:443
1483,TCP_TUNNEL,200,23.3.13.138,22746,CONNECT,clips-manifests-ctl.warnermediacdn.com:443
524,TCP_TUNNEL,200,34.111.8.32,11141,CONNECT,cnn.bounceexchange.com:443
518,TCP_TUNNEL,200,34.111.8.32,1920,CONNECT,events.bouncex.net:443
604,TCP_TUNNEL,200,13.107.42.14,5307,CONNECT,px.ads.linkedin.com:443
1473,TCP_TUNNEL,200,142.250.191.194,8672,CONNECT,cm.g.doubleclick.net:443
441,TCP_TUNNEL,200,74.119.119.139,770,CONNECT,gum.criteo.com:443
1477,TCP_TUNNEL,200,35.211.178.172,7090,CONNECT,x.bidswitch.net:443
530,TCP_TUNNEL,200,74.119.119.150,720,CONNECT,dis.criteo.com:443
606,TCP_TUNNEL,200,34.202.153.158,6801,CONNECT,pr-bh.ybp.yahoo.com:443
356,TCP_TUNNEL,200,142.250.191.162,1955,CONNECT,pagead2.googlesyndication.com:443
492,TCP_TUNNEL,200,151.101.145.108,3542,CONNECT,acdn.adnxs.com:443
258,TCP_TUNNEL,200,68.67.161.182,2102,CONNECT,ib.adnxs.com:443
500,TCP_TUNNEL,200,192.40.36.238,7015,CONNECT,dsum-sec.casalemedia.com:443
140,TCP_TUNNEL,200,68.67.161.182,195,CONNECT,ib.adnxs.com:443
310,TCP_TUNNEL,200,68.67.153.61,8675,CONNECT,prebid.adnxs.com:443
511,TCP_TUNNEL,200,69.173.151.100,4300,CONNECT,pixel.rubiconproject.com:443
333,TCP_TUNNEL,200,52.46.143.56,1060,CONNECT,s.amazon-adsystem.com:443
355,TCP_TUNNEL,200,35.207.10.239,5661,CONNECT,ssp.behave.com:443
556,TCP_TUNNEL,200,192.40.36.238,8572,CONNECT,ssum-sec.casalemedia.com:443
517,TCP_TUNNEL,200,216.200.232.249,4210,CONNECT,sync.mathtag.com:443
529,TCP_TUNNEL,200,34.232.29.238,6198,CONNECT,sync.crwdcntrl.net:443
339,TCP_TUNNEL,200,142.250.191.194,2382,CONNECT,cm.g.doubleclick.net:443
523,TCP_TUNNEL,200,34.98.64.218,1214,CONNECT,us-u.openx.net:443
427,TCP_TUNNEL,200,172.217.4.198,1959,CONNECT,ad.doubleclick.net:443
524,TCP_TUNNEL,200,192.184.69.201,840,CONNECT,cms.quantserve.com:443
523,TCP_TUNNEL,200,50.116.194.21,4963,CONNECT,ad.turn.com:443
360,TCP_TUNNEL,200,104.18.24.185,1458,CONNECT,as-sec.casalemedia.com:443
361,TCP_TUNNEL,200,104.36.115.111,431,CONNECT,hbopenbid.pubmatic.com:443
